overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,16,False,homeostasis,1,1792,0.9566187872919611,0.9136855371214782,0.9851384404402749,0.036116422601438776,0.007412082609889999,0.07945599528167846
5,per_pair,16,False,homeostasis,2,1664,0.9356718055267721,0.8719896664996174,0.9834578303570809,0.059541122917594023,0.011924698026229577,0.12300903504366578
5,per_pair,16,False,homeostasis,3,1536,0.9716242633224282,0.9507649961905259,0.9879849263605645,0.018114418501017287,0.007264373463157874,0.0304070950680918
5,per_pair,16,False,homeostasis,4,1408,0.9469158824497064,0.8820583119229216,0.991678149888611,0.044933989381713425,0.005604126234784524,0.1038166552557235
5,per_pair,16,False,homeostasis,5,1280,0.9663456415835032,0.9358574866961646,0.9916649715577295,0.029017593009260368,0.004610480547663874,0.058751577899693846
5,per_pair,16,False,homeostasis,6,1152,0.9503904431549862,0.8934324210983284,0.9866802825204759,0.04140775978433215,0.010121476530277156,0.09133453836044463
5,per_pair,16,False,homeostasis,7,1024,0.9625373608995712,0.9098054644534798,0.9932175551364844,0.022982261881679216,0.003852827602359453,0.05257405173173042
5,per_pair,16,False,homeostasis,8,896,0.9434773525245784,0.8795133127266548,0.9838896960484704,0.04682513844122207,0.0110239366387471,0.10492482129220812
5,per_pair,16,False,homeostasis,9,768,0.9810905400134134,0.9653671296199537,0.9930710407790322,0.015105552598866373,0.003791459963920927,0.0302537987767127
5,per_pair,16,False,homeostasis,10,640,0.9655357335927808,0.9234132396368937,0.9942783047750811,0.015585961909590093,-0.0017753832885764006,0.039322770489318676
5,per_pair,16,False,homeostasis,11,512,0.9834652075878355,0.9621864924382173,0.9961006364899314,0.00833241873664517,-0.004176380667704274,0.028106489222352923
5,per_pair,16,False,homeostasis,12,384,0.9829922336888907,0.9623215828914294,0.9966079949808003,0.0048151875811843865,-0.002569411083454354,0.017087000284696133
5,per_pair,16,False,homeostasis,13,256,0.9758903321305358,0.9422271841848923,0.9946649456391568,0.010013323862183676,-0.006923000923080727,0.03680966101767341
