overlap,regime,load,shift,method,metric,mean,lower95,upper95
2,per_pair,4,False,ordinary,new_learning,0.9940374489249484,0.9887069980801638,0.9977530255112448
2,per_pair,4,False,ordinary,forgetting,0.03536504196152996,0.0180733135923796,0.05542529248370767
2,per_pair,4,False,ordinary,noise_retention,0.9362726602083206,0.916360260998201,0.9551083688021855
2,per_pair,4,False,ordinary,reversal,0.9183681094314604,0.8640027098316276,0.9633269478011547
2,per_pair,4,False,ordinary,unchanged,0.8461218157868308,0.7702161731919828,0.9131585807399075
2,per_pair,4,False,ordinary,below_chance,0.03125,0.0078125,0.0625
2,per_pair,4,False,homeostasis,retention,0.957305162588045,0.9352480126590282,0.9766358949292447
2,per_pair,4,False,homeostasis,worst_pair,0.8514017674364303,0.7681056897684628,0.9226096956986959
2,per_pair,4,False,homeostasis,new_learning,0.99435046020186,0.988786596867216,0.9978156291423975
2,per_pair,4,False,homeostasis,forgetting,0.037045297613815024,0.019265815417696362,0.05788561908200852
2,per_pair,4,False,homeostasis,noise_retention,0.9315096798576348,0.9105314145169373,0.9509911211923409
2,per_pair,4,False,homeostasis,reversal,0.9160275330243496,0.8621136056470139,0.9612421772147398
2,per_pair,4,False,homeostasis,unchanged,0.8312927470257214,0.754650473826123,0.9028663317754424
2,per_pair,4,False,homeostasis,below_chance,0.0234375,0.0,0.0546875
2,per_pair,4,False,sham,retention,0.9571568279150804,0.9367360946496952,0.9743802697175444
2,per_pair,4,False,sham,worst_pair,0.8450325701454076,0.7652897864966947,0.9108712931211096
2,per_pair,4,False,sham,new_learning,0.9935896320348192,0.9872639788303947,0.9974663175777708
2,per_pair,4,False,sham,forgetting,0.03643280411973874,0.01968503867124462,0.056674158939411926
2,per_pair,4,False,sham,noise_retention,0.9332447065857952,0.9132617958206488,0.9514966340801664
2,per_pair,4,False,sham,reversal,0.9309920749548055,0.8868309752068094,0.9676103288762323
2,per_pair,4,False,sham,unchanged,0.8324172380312735,0.7544614045985737,0.9022280051969904
2,per_pair,4,False,sham,below_chance,0.018229166666666664,0.0026041666666666665,0.0390625
2,per_pair,4,False,random_ordinary,retention,0.9533355159705028,0.9368525227608264,0.9676558154048785
2,per_pair,4,False,random_ordinary,worst_pair,0.842052987634798,0.787290631978003,0.8903501224214261
2,per_pair,4,False,random_ordinary,new_learning,0.992685761663028,0.9900278814331641,0.9948489610998879
2,per_pair,4,False,random_ordinary,forgetting,0.03935024569252517,0.02577731221915227,0.05482890313928618
2,per_pair,4,False,random_ordinary,noise_retention,0.9235058377169865,0.9061227548888521,0.938923177405766
2,per_pair,4,False,random_ordinary,reversal,0.9402987765206452,0.9040133316660929,0.9701792273524378
2,per_pair,4,False,random_ordinary,unchanged,0.8224608455238424,0.77220311783741,0.8697446794897333
2,per_pair,4,False,random_ordinary,below_chance,0.0234375,0.0078125,0.041666666666666664
2,per_pair,4,False,random_homeostasis,retention,0.9532217232127036,0.9384942579222464,0.966826418973617
2,per_pair,4,False,random_homeostasis,worst_pair,0.841483871761614,0.7890265519103056,0.890017133439342
2,per_pair,4,False,random_homeostasis,new_learning,0.9921613591035278,0.9893083883832728,0.9945913919782411
2,per_pair,4,False,random_homeostasis,forgetting,0.03893963589082416,0.02585322456747525,0.05310862574933666
2,per_pair,4,False,random_homeostasis,noise_retention,0.9203616450453025,0.9041599374638039,0.9353533497227514
2,per_pair,4,False,random_homeostasis,reversal,0.9365437196290345,0.9006447180682073,0.9670338790854981
2,per_pair,4,False,random_homeostasis,unchanged,0.8310655106885769,0.7818802463802733,0.8775033197036989
2,per_pair,4,False,random_homeostasis,below_chance,0.02864583333333333,0.015625,0.041666666666666664
2,per_pair,4,False,direct,retention,0.9932805955043675,0.9877652572982195,0.9976441887664397
2,per_pair,4,False,direct,worst_pair,0.9758031595717163,0.9553039770938968,0.9920385575284644
2,per_pair,4,False,direct,new_learning,0.9956671856330603,0.9903417289315328,0.9990282945172118
2,per_pair,4,False,direct,forgetting,0.002386590128692869,-0.0008052596357969063,0.006692503432542943
2,per_pair,4,False,direct,noise_retention,0.9841454352805649,0.9757078408067899,0.9910344396479164
2,per_pair,4,False,direct,reversal,0.9529402870327368,0.9121839637356153,0.9858639536296373
2,per_pair,4,False,direct,unchanged,0.9459879806399504,0.8990558408794674,0.9830891927029075
2,per_pair,4,False,direct,below_chance,0.0,0.0,0.0
2,per_pair,4,False,oracle,retention,0.9979783419639756,0.9974608600789735,0.9984411030794239
2,per_pair,4,False,oracle,worst_pair,0.9949533392656342,0.9932133393997671,0.9964050677020868
2,per_pair,4,False,oracle,new_learning,0.9979783419639756,0.9974608600789735,0.9984411030794239
2,per_pair,4,False,oracle,forgetting,0.0,0.0,0.0
2,per_pair,4,False,oracle,noise_retention,0.9979783419639756,0.9974608600789735,0.9984411030794239
2,per_pair,4,False,oracle,reversal,0.9984547279262951,0.997855978846646,0.9989700237634297
2,per_pair,4,False,oracle,unchanged,0.9978401295614362,0.996960171896829,0.9985651797830364
